survey_year,variable,type
1993,hhid,character
1993,hv000,character
1993,hv001,numeric
1993,hv002,numeric
1993,hv003,numeric
1993,hv004,numeric
1993,hv005,numeric
1993,hv006,numeric
1993,hv007,numeric
1993,hv008,numeric
1993,hv009,numeric
1993,hv010,numeric
1993,hv011,numeric
1993,hv012,numeric
1993,hv013,numeric
1993,hv014,numeric
1993,hv015,haven_labelled
1993,hv016,numeric
1993,hv017,numeric
1993,hv018,numeric
1993,hv019,numeric
1993,hv020,haven_labelled
1993,hv021,numeric
1993,hv022,numeric
1993,hv023,haven_labelled
1993,hv024,haven_labelled
1993,hv025,haven_labelled
1993,hv026,haven_labelled
1993,hv027,haven_labelled
1993,hv028,numeric
1993,hv101_01,haven_labelled
1993,hv101_02,haven_labelled
1993,hv101_03,haven_labelled
1993,hv101_04,haven_labelled
1993,hv101_05,haven_labelled
1993,hv101_06,haven_labelled
1993,hv101_07,haven_labelled
1993,hv101_08,haven_labelled
1993,hv101_09,haven_labelled
1993,hv101_10,haven_labelled
1993,hv101_11,haven_labelled
1993,hv101_12,haven_labelled
1993,hv101_13,haven_labelled
1993,hv101_14,haven_labelled
1993,hv101_15,haven_labelled
1993,hv101_16,haven_labelled
1993,hv101_17,haven_labelled
1993,hv101_18,haven_labelled
1993,hv101_19,haven_labelled
1993,hv101_20,haven_labelled
1993,hv101_21,haven_labelled
1993,hv101_22,haven_labelled
1993,hv101_23,haven_labelled
1993,hv101_24,haven_labelled
1993,hv101_25,haven_labelled
1993,hv102_01,haven_labelled
1993,hv102_02,haven_labelled
1993,hv102_03,haven_labelled
1993,hv102_04,haven_labelled
1993,hv102_05,haven_labelled
1993,hv102_06,haven_labelled
1993,hv102_07,haven_labelled
1993,hv102_08,haven_labelled
1993,hv102_09,haven_labelled
1993,hv102_10,haven_labelled
1993,hv102_11,haven_labelled
1993,hv102_12,haven_labelled
1993,hv102_13,haven_labelled
1993,hv102_14,haven_labelled
1993,hv102_15,haven_labelled
1993,hv102_16,haven_labelled
1993,hv102_17,haven_labelled
1993,hv102_18,haven_labelled
1993,hv102_19,haven_labelled
1993,hv102_20,haven_labelled
1993,hv102_21,haven_labelled
1993,hv102_22,haven_labelled
1993,hv102_23,haven_labelled
1993,hv102_24,haven_labelled
1993,hv102_25,haven_labelled
1993,hv103_01,haven_labelled
1993,hv103_02,haven_labelled
1993,hv103_03,haven_labelled
1993,hv103_04,haven_labelled
1993,hv103_05,haven_labelled
1993,hv103_06,haven_labelled
1993,hv103_07,haven_labelled
