survey_year,variable,type
1993,awfacte,numeric
1993,awfactr,numeric
1993,awfactt,numeric
1993,awfactu,numeric
1993,b0_01,haven_labelled
1993,b0_02,haven_labelled
1993,b0_03,haven_labelled
1993,b0_04,haven_labelled
1993,b0_05,haven_labelled
1993,b0_06,haven_labelled
1993,b0_07,haven_labelled
1993,b0_08,haven_labelled
1993,b0_09,haven_labelled
1993,b0_10,haven_labelled
1993,b0_11,haven_labelled
1993,b0_12,haven_labelled
1993,b0_13,haven_labelled
1993,b0_14,haven_labelled
1993,b0_15,haven_labelled
1993,b0_16,haven_labelled
1993,b0_17,haven_labelled
1993,b0_18,haven_labelled
1993,b0_19,haven_labelled
1993,b0_20,haven_labelled
1993,b10_01,haven_labelled
1993,b10_02,haven_labelled
1993,b10_03,haven_labelled
1993,b10_04,haven_labelled
1993,b10_05,haven_labelled
1993,b10_06,haven_labelled
1993,b10_07,haven_labelled
1993,b10_08,haven_labelled
1993,b10_09,haven_labelled
1993,b10_10,haven_labelled
1993,b10_11,haven_labelled
1993,b10_12,haven_labelled
1993,b10_13,haven_labelled
1993,b10_14,haven_labelled
1993,b10_15,haven_labelled
1993,b10_16,haven_labelled
1993,b10_17,haven_labelled
1993,b10_18,haven_labelled
1993,b10_19,haven_labelled
1993,b10_20,haven_labelled
1993,b11_01,numeric
1993,b11_02,numeric
1993,b11_03,numeric
1993,b11_04,numeric
1993,b11_05,numeric
1993,b11_06,numeric
1993,b11_07,numeric
1993,b11_08,numeric
1993,b11_09,numeric
1993,b11_10,numeric
1993,b11_11,numeric
1993,b11_12,numeric
1993,b11_13,numeric
1993,b11_14,numeric
1993,b11_15,numeric
1993,b11_16,numeric
1993,b11_17,numeric
1993,b11_18,numeric
1993,b11_19,numeric
1993,b11_20,numeric
1993,b12_01,numeric
1993,b12_02,numeric
1993,b12_03,numeric
1993,b12_04,numeric
1993,b12_05,numeric
1993,b12_06,numeric
1993,b12_07,numeric
1993,b12_08,numeric
1993,b12_09,numeric
1993,b12_10,numeric
1993,b12_11,numeric
1993,b12_12,numeric
1993,b12_13,numeric
1993,b12_14,numeric
1993,b12_15,numeric
1993,b12_16,numeric
1993,b12_17,numeric
1993,b12_18,numeric
1993,b12_19,numeric
1993,b12_20,numeric
1993,b13_01,haven_labelled
1993,b13_02,haven_labelled
1993,b13_03,haven_labelled
1993,b13_04,haven_labelled
1993,b13_05,haven_labelled
1993,b13_06,haven_labelled
1993,b13_07,haven_labelled
1993,b13_08,haven_labelled
1993,b13_09,haven_labelled
1993,b13_10,haven_labelled
1993,b13_11,haven_labelled
1993,b13_12,haven_labelled
1993,b13_13,haven_labelled
1993,b13_14,haven_labelled
1993,b13_15,haven_labelled
1993,b13_16,haven_labelled
1993,b13_17,haven_labelled
1993,b13_18,haven_labelled
1993,b13_19,haven_labelled
1993,b13_20,haven_labelled
1993,b1_01,numeric
1993,b1_02,numeric
1993,b1_03,numeric
1993,b1_04,numeric
1993,b1_05,numeric
1993,b1_06,numeric
1993,b1_07,numeric
1993,b1_08,numeric
1993,b1_09,numeric
1993,b1_10,numeric
1993,b1_11,numeric
1993,b1_12,numeric
1993,b1_13,numeric
1993,b1_14,numeric
1993,b1_15,numeric
1993,b1_16,numeric
1993,b1_17,numeric
1993,b1_18,numeric
1993,b1_19,numeric
1993,b1_20,numeric
1993,b2_01,numeric
1993,b2_02,numeric
1993,b2_03,numeric
1993,b2_04,numeric
1993,b2_05,numeric
1993,b2_06,numeric
1993,b2_07,numeric
1993,b2_08,numeric
1993,b2_09,numeric
1993,b2_10,numeric
1993,b2_11,numeric
1993,b2_12,numeric
1993,b2_13,numeric
1993,b2_14,numeric
1993,b2_15,numeric
1993,b2_16,numeric
1993,b2_17,numeric
1993,b2_18,numeric
1993,b2_19,numeric
1993,b2_20,numeric
1993,b3_01,numeric
1993,b3_02,numeric
1993,b3_03,numeric
1993,b3_04,numeric
1993,b3_05,numeric
1993,b3_06,numeric
1993,b3_07,numeric
1993,b3_08,numeric
1993,b3_09,numeric
1993,b3_10,numeric
1993,b3_11,numeric
1993,b3_12,numeric
1993,b3_13,numeric
1993,b3_14,numeric
1993,b3_15,numeric
1993,b3_16,numeric
1993,b3_17,numeric
1993,b3_18,numeric
1993,b3_19,numeric
1993,b3_20,numeric
1993,b4_01,haven_labelled
1993,b4_02,haven_labelled
1993,b4_03,haven_labelled
1993,b4_04,haven_labelled
1993,b4_05,haven_labelled
1993,b4_06,haven_labelled
1993,b4_07,haven_labelled
1993,b4_08,haven_labelled
1993,b4_09,haven_labelled
1993,b4_10,haven_labelled
1993,b4_11,haven_labelled
1993,b4_12,haven_labelled
1993,b4_13,haven_labelled
1993,b4_14,haven_labelled
1993,b4_15,haven_labelled
1993,b4_16,haven_labelled
1993,b4_17,haven_labelled
1993,b4_18,haven_labelled
1993,b4_19,haven_labelled
1993,b4_20,haven_labelled
1993,b5_01,haven_labelled
1993,b5_02,haven_labelled
1993,b5_03,haven_labelled
1993,b5_04,haven_labelled
1993,b5_05,haven_labelled
1993,b5_06,haven_labelled
1993,b5_07,haven_labelled
