survey_year,variable,type
1993,awfacte,numeric
1993,awfactr,numeric
1993,awfactt,numeric
1993,awfactu,numeric
1993,b0,haven_labelled
1993,b1,numeric
1993,b10,haven_labelled
1993,b11,numeric
1993,b12,numeric
1993,b13,haven_labelled
1993,b2,numeric
1993,b3,numeric
1993,b4,haven_labelled
1993,b5,haven_labelled
1993,b6,haven_labelled
1993,b7,numeric
1993,b8,numeric
1993,b9,haven_labelled
1993,bidx,numeric
1993,bord,numeric
1993,case_id,character
1993,caseid,character
1993,h1,haven_labelled
1993,h10,haven_labelled
1993,h11,haven_labelled
1993,h11a,haven_labelled
1993,h11b,haven_labelled
1993,h12a,haven_labelled
1993,h12b,numeric
1993,h12c,numeric
1993,h12d,haven_labelled
1993,h12e,haven_labelled
1993,h12f,haven_labelled
1993,h12g,haven_labelled
1993,h12h,numeric
1993,h12i,numeric
1993,h12j,haven_labelled
1993,h12k,haven_labelled
1993,h12l,haven_labelled
1993,h12m,haven_labelled
1993,h12n,haven_labelled
1993,h12o,numeric
1993,h12p,numeric
1993,h12q,numeric
1993,h12r,numeric
1993,h12s,haven_labelled
1993,h12t,haven_labelled
1993,h12u,numeric
1993,h12v,numeric
1993,h12w,numeric
1993,h12x,haven_labelled
1993,h12y,haven_labelled
1993,h12z,haven_labelled
1993,h13,haven_labelled
1993,h13a,haven_labelled
1993,h14,haven_labelled
1993,h14a,haven_labelled
1993,h15,haven_labelled
1993,h15a,haven_labelled
1993,h15b,haven_labelled
1993,h15c,haven_labelled
1993,h15d,haven_labelled
1993,h15e,numeric
1993,h15f,numeric
1993,h15g,numeric
1993,h15h,numeric
1993,h16,haven_labelled
1993,h18,numeric
1993,h18a,haven_labelled
1993,h2,haven_labelled
1993,h20,haven_labelled
1993,h21,haven_labelled
1993,h21a,haven_labelled
1993,h22,haven_labelled
1993,h2d,haven_labelled
1993,h2m,haven_labelled
1993,h2y,haven_labelled
1993,h3,haven_labelled
1993,h31,haven_labelled
1993,h31a,haven_labelled
1993,h31b,haven_labelled
1993,h32a,haven_labelled
1993,h32b,numeric
1993,h32c,numeric
1993,h32d,haven_labelled
1993,h32e,haven_labelled
1993,h32f,haven_labelled
1993,h32g,haven_labelled
1993,h32h,haven_labelled
1993,h32i,haven_labelled
1993,h32j,haven_labelled
1993,h32k,haven_labelled
1993,h32l,haven_labelled
1993,h32m,haven_labelled
1993,h32n,haven_labelled
1993,h32o,numeric
1993,h32p,numeric
1993,h32q,numeric
1993,h32r,numeric
1993,h32s,haven_labelled
1993,h32t,haven_labelled
1993,h32u,numeric
1993,h32v,numeric
1993,h32w,numeric
1993,h32x,haven_labelled
1993,h32y,haven_labelled
1993,h32z,haven_labelled
1993,h33,haven_labelled
1993,h33a,haven_labelled
1993,h34,haven_labelled
1993,h35,haven_labelled
1993,h35a,haven_labelled
1993,h36,haven_labelled
1993,h36a,haven_labelled
1993,h37,haven_labelled
1993,h37a,numeric
1993,h37b,numeric
1993,h37c,numeric
1993,h37d,numeric
1993,h38,haven_labelled
1993,h38a,haven_labelled
1993,h3d,haven_labelled
1993,h3m,haven_labelled
1993,h3y,haven_labelled
1993,h4,haven_labelled
1993,h4d,haven_labelled
1993,h4m,haven_labelled
1993,h4y,haven_labelled
1993,h5,haven_labelled
1993,h5d,haven_labelled
1993,h5m,haven_labelled
1993,h5y,haven_labelled
1993,h6,haven_labelled
1993,h6d,haven_labelled
1993,h6m,haven_labelled
1993,h6y,haven_labelled
1993,h7,haven_labelled
1993,h7d,haven_labelled
1993,h7m,haven_labelled
1993,h7y,haven_labelled
1993,h8,haven_labelled
1993,h8d,haven_labelled
1993,h8m,haven_labelled
1993,h8y,haven_labelled
1993,h9,haven_labelled
1993,h9d,haven_labelled
1993,h9m,haven_labelled
1993,h9y,haven_labelled
1993,hidx,numeric
1993,hw1,numeric
1993,hw10,numeric
1993,hw11,numeric
1993,hw12,numeric
1993,hw13,numeric
1993,hw14,numeric
1993,hw15,numeric
1993,hw16,numeric
1993,hw17,numeric
1993,hw18,numeric
1993,hw19,numeric
1993,hw2,numeric
1993,hw20,numeric
1993,hw21,numeric
1993,hw22,numeric
1993,hw23,numeric
1993,hw24,numeric
1993,hw25,numeric
1993,hw26,numeric
1993,hw3,numeric
1993,hw4,numeric
1993,hw5,numeric
1993,hw6,numeric
1993,hw7,numeric
1993,hw8,numeric
1993,hw9,numeric
1993,hwidx,numeric
1993,idx94,numeric
1993,m1,haven_labelled
1993,m10,haven_labelled
1993,m11,haven_labelled
1993,m12,haven_labelled
1993,m13,haven_labelled
1993,m14,haven_labelled
1993,m15,haven_labelled
1993,m16,haven_labelled
1993,m17,haven_labelled
1993,m18,haven_labelled
1993,m19,haven_labelled
1993,m20,haven_labelled
1993,m21,haven_labelled
1993,m22,haven_labelled
1993,m23,haven_labelled
1993,m24,haven_labelled
1993,m25,haven_labelled
1993,m26,haven_labelled
1993,m27,haven_labelled
1993,m28,haven_labelled
1993,m29,haven_labelled
1993,m2a,haven_labelled
1993,m2b,haven_labelled
1993,m2c,numeric
1993,m2d,haven_labelled
1993,m2e,haven_labelled
